finding_id,deal_id,company_id,finding_type,esg_pillar,category,title,description,likelihood_score,impact_score,overall_score,financial_impact,financial_impact_currency,priority,recommendation,evidence_document_id,evidence_controversy_id,status
D1-FND01,DEAL001,COMP001,Risk,Governance,Data privacy,2023 customer data breach with GDPR non-compliance,Breach + missed 72h GDPR notice; regulatory fine and client-loss exposure,4,5,4.0,90000000,INR,Critical,Quantify GDPR fine exposure; escrow/indemnity; remediate incident response,D1-DOC-INC,D1-CTRL-breach,Open
D1-FND02,DEAL001,COMP001,Risk,Governance,Certifications,ISO 27001 certification under review after breach,Info-security cert 'Under review' post-breach; a lapse would breach client contract terms,3,4,2.4,20000000,INR,High,Confirm re-certification path; check client-contract security clauses,D1-DOC-POL,D1-CTRL-breach,Open
D1-FND03,DEAL001,COMP001,Risk,Environmental,Scope 3 disclosure,Incomplete Scope 3 (cloud & purchased services) blocks CSRD,Largest emissions category unreported; blocks ESRS E1 assurance post-deal,4,4,3.2,22000000,INR,High,Budget Scope 3 cloud-emissions build in first 100 days,D1-DOC2024,D1-CTRL-scope3,Open
D1-FND04,DEAL001,COMP001,Risk,Social,Talent retention,Attrition spike and delivery-crunch labour allegations,Attrition wave + overtime claims raise integration & margin risk,3,4,2.4,30000000,INR,High,Retention pool for key talent; review overtime practices,D1-DOC2024,D1-CTRL-attrition,Open
D1-FND05,DEAL001,COMP001,Risk,Governance,Business ethics,Insider-trading probe into senior executives,SEBI probe creates leadership-continuity and reputational risk,3,4,2.4,18000000,INR,High,Confirm probe status; key-person and reps-warranties cover,D1-DOC2022,D1-CTRL-insider,Open
D1-FND06,DEAL001,COMP001,Opportunity,Environmental,Renewables & efficiency,Renewable and PUE trajectory,Improving renewables and PUE; further PPA + DC efficiency upside,4,3,2.4,28000000,INR,Medium,Accelerate PPAs and data-centre efficiency for cost + rating uplift,D1-DOC2024,,Open
D1-FND07,DEAL001,COMP001,Opportunity,Social,Diversity,Female-workforce share trajectory,Rising female share supports client DEI requirements and talent brand,3,3,1.8,0,INR,Low,Feature DEI leadership in client and investor materials,D1-DOC2024,,Open
D1-FND08,DEAL001,COMP001,Opportunity,Governance,Board,Improving board independence and gender diversity,Independence and women-on-board rising; supports ESG re-rating,3,2,1.2,0,INR,Low,Highlight governance trajectory in investor narrative,D1-DOC2024,,Open
D2-FND01,DEAL002,COMP002,Risk,Environmental,Scope 3 disclosure,Incomplete Scope 3 (cloud & purchased services) blocks CSRD,Largest emissions category unreported; blocks ESRS E1 assurance post-deal,4,4,3.2,13200000,INR,High,Budget Scope 3 cloud-emissions build in first 100 days,D2-DOC2024,D2-CTRL-scope3,Open
D2-FND02,DEAL002,COMP002,Risk,Social,Talent retention,Attrition spike and delivery-crunch labour allegations,Attrition wave + overtime claims raise integration & margin risk,3,4,2.4,18000000,INR,High,Retention pool for key talent; review overtime practices,D2-DOC2024,D2-CTRL-attrition,Open
D2-FND03,DEAL002,COMP002,Risk,Governance,Business ethics,Insider-trading probe into senior executives,SEBI probe creates leadership-continuity and reputational risk,3,4,2.4,10800000,INR,High,Confirm probe status; key-person and reps-warranties cover,D2-DOC2022,D2-CTRL-insider,Open
D2-FND04,DEAL002,COMP002,Opportunity,Environmental,Renewables & efficiency,Renewable and PUE trajectory,Improving renewables and PUE; further PPA + DC efficiency upside,4,3,2.4,16800000,INR,Medium,Accelerate PPAs and data-centre efficiency for cost + rating uplift,D2-DOC2024,,Open
D2-FND05,DEAL002,COMP002,Opportunity,Social,Diversity,Female-workforce share trajectory,Rising female share supports client DEI requirements and talent brand,3,3,1.8,0,INR,Low,Feature DEI leadership in client and investor materials,D2-DOC2024,,Open
D2-FND06,DEAL002,COMP002,Opportunity,Governance,Board,Improving board independence and gender diversity,Independence and women-on-board rising; supports ESG re-rating,3,2,1.2,0,INR,Low,Highlight governance trajectory in investor narrative,D2-DOC2024,,Open
D3-FND01,DEAL003,COMP003,Risk,Social,Talent retention,Attrition spike and delivery-crunch labour allegations,Attrition wave + overtime claims raise integration & margin risk,3,4,2.4,63000000,CHF,High,Retention pool for key talent; review overtime practices,D3-DOC2024,D3-CTRL-attrition,Open
D3-FND02,DEAL003,COMP003,Risk,Governance,Business ethics,Insider-trading probe into senior executives,SEBI probe creates leadership-continuity and reputational risk,3,4,2.4,37800000,CHF,High,Confirm probe status; key-person and reps-warranties cover,D3-DOC2022,D3-CTRL-insider,Open
D3-FND03,DEAL003,COMP003,Opportunity,Environmental,Renewables & efficiency,Renewable and PUE trajectory,Improving renewables and PUE; further PPA + DC efficiency upside,4,3,2.4,58800000,CHF,Medium,Accelerate PPAs and data-centre efficiency for cost + rating uplift,D3-DOC2024,,Open
D3-FND04,DEAL003,COMP003,Opportunity,Social,Diversity,Female-workforce share trajectory,Rising female share supports client DEI requirements and talent brand,3,3,1.8,0,CHF,Low,Feature DEI leadership in client and investor materials,D3-DOC2024,,Open
D3-FND05,DEAL003,COMP003,Opportunity,Governance,Board,Improving board independence and gender diversity,Independence and women-on-board rising; supports ESG re-rating,3,2,1.2,0,CHF,Low,Highlight governance trajectory in investor narrative,D3-DOC2024,,Open
D4-FND01,DEAL004,COMP004,Risk,Governance,Data privacy,2022 customer data breach with GDPR non-compliance,Breach + missed 72h GDPR notice; regulatory fine and client-loss exposure,4,5,4.0,135000000,USD,Critical,Quantify GDPR fine exposure; escrow/indemnity; remediate incident response,D4-DOC-INC,D4-CTRL-breach,Open
D4-FND02,DEAL004,COMP004,Risk,Governance,Certifications,ISO 27001 certification under review after breach,Info-security cert 'Under review' post-breach; a lapse would breach client contract terms,3,4,2.4,30000000,USD,High,Confirm re-certification path; check client-contract security clauses,D4-DOC-POL,D4-CTRL-breach,Open
D4-FND03,DEAL004,COMP004,Risk,Environmental,Scope 3 disclosure,Incomplete Scope 3 (cloud & purchased services) blocks CSRD,Largest emissions category unreported; blocks ESRS E1 assurance post-deal,4,4,3.2,33000000,USD,High,Budget Scope 3 cloud-emissions build in first 100 days,D4-DOC2024,D4-CTRL-scope3,Open
D4-FND04,DEAL004,COMP004,Risk,Social,Talent retention,Attrition spike and delivery-crunch labour allegations,Attrition wave + overtime claims raise integration & margin risk,3,4,2.4,45000000,USD,High,Retention pool for key talent; review overtime practices,D4-DOC2024,D4-CTRL-attrition,Open
