facility_id,company_id,facility_name,facility_type,country,city,operational_status,commissioned_year
FAC001,COMP001,Mumbai HQ,Office,India,Mumbai,Active,2008
FAC002,COMP001,Bangalore Tech Campus,Office,India,Bangalore,Active,2012
FAC003,COMP001,Chennai DC,Data Centre,India,Chennai,Active,2015
FAC004,COMP001,Pune Development Centre,Office,India,Pune,Active,2017
FAC005,COMP002,Hyderabad HQ,Office,India,Hyderabad,Active,2010
FAC006,COMP002,Noida Campus,Office,India,Noida,Active,2013
FAC007,COMP002,Mumbai DC,Data Centre,India,Mumbai,Active,2016
FAC008,COMP003,Zurich HQ,Office,Switzerland,Zurich,Active,2005
FAC009,COMP003,Geneva R&D Centre,Office,Switzerland,Geneva,Active,2011
FAC010,COMP003,Frankfurt DC,Data Centre,Germany,Frankfurt,Active,2014
FAC011,COMP003,London Office,Office,United Kingdom,London,Active,2016
FAC012,COMP004,San Francisco HQ,Office,United States,San Francisco,Active,2007
FAC013,COMP004,Austin Campus,Office,United States,Austin,Active,2013
FAC014,COMP004,Virginia DC,Data Centre,United States,Ashburn,Active,2015
FAC015,COMP004,Seattle Office,Office,United States,Seattle,Active,2018
