metric_code,metric_name,esg_pillar,category,unit,direction,description,is_intensity,intensity_denominator
ENV_SCOPE1,Scope 1 GHG Emissions,Environmental,Climate,tCO2e,lower_is_better,Direct greenhouse gas emissions from owned or controlled sources,No,
ENV_SCOPE2,Scope 2 GHG Emissions,Environmental,Climate,tCO2e,lower_is_better,Indirect greenhouse gas emissions from purchased electricity,No,
ENV_SCOPE3,Scope 3 GHG Emissions,Environmental,Climate,tCO2e,lower_is_better,All other indirect greenhouse gas emissions in value chain,No,
ENV_ENERGY,Total Energy Consumption,Environmental,Energy,MWh,lower_is_better,Total energy consumed within the organisation,No,
ENV_RENEW_PCT,Renewable Energy Percentage,Environmental,Energy,%,higher_is_better,Share of total energy from renewable sources,No,
ENV_WATER,Total Water Withdrawal,Environmental,Water,megalitres,lower_is_better,Total water withdrawn from all sources,No,
ENV_EWASTE,E-Waste Generated,Environmental,Waste,tonnes,lower_is_better,Total electronic waste generated,No,
ENV_EWASTE_REC_PCT,E-Waste Recycling Rate,Environmental,Waste,%,higher_is_better,Percentage of e-waste responsibly recycled,No,
ENV_DC_PUE,Data Centre PUE,Environmental,Energy,ratio,lower_is_better,Power Usage Effectiveness of data centres,Yes,facility
SOC_HEADCOUNT,Total Headcount,Social,Workforce,employees,neutral,Total number of employees,No,
SOC_FEMALE_PCT,Female Workforce Percentage,Social,Diversity,%,higher_is_better,Women as percentage of total workforce,No,
SOC_ATTRITION,Employee Attrition Rate,Social,Workforce,%,lower_is_better,Annual voluntary and involuntary turnover rate,No,
SOC_LTIFR,Lost Time Injury Frequency Rate,Social,Health & Safety,per million hours,lower_is_better,Number of lost-time injuries per million hours worked,No,
SOC_TRAINING_HRS,Training Hours per Employee,Social,Development,hours,higher_is_better,Average training hours per employee per year,No,
GOV_BOARD_INDEP_PCT,Board Independence Percentage,Governance,Board,%,higher_is_better,Percentage of independent directors on the board,No,
GOV_WOMEN_BOARD_PCT,Women on Board Percentage,Governance,Diversity,%,higher_is_better,Percentage of women on the board of directors,No,
GOV_DATA_BREACH,Data Breach Incidents,Governance,Cybersecurity,incidents,lower_is_better,Number of substantiated data breach incidents,No,
GOV_ETHICS_TRAINING_PCT,Ethics Training Completion,Governance,Ethics,%,higher_is_better,Percentage of employees completing annual ethics training,No,
