facility_id,company_id,facility_name,facility_type,country,city,ownership_type,operational_status,employee_count
D1-FAC01,COMP001,Bengaluru Development Centre,Development Centre,India,Bengaluru,Owned,Active,5025
D1-FAC02,COMP001,Hyderabad Development Centre,Development Centre,India,Hyderabad,Leased,Active,12766
D1-FAC03,COMP001,Pune Data Centre,Data Centre,India,Pune,Owned,Active,235
D1-FAC04,COMP001,Chennai Office,Office,India,Chennai,Leased,Active,640
D1-FAC05,COMP001,Noida Development Centre,Development Centre,India,Noida,Leased,Active,8844
D1-FAC06,COMP001,Mumbai Data Centre,Data Centre,India,Mumbai,Leased,Under construction,137
D2-FAC01,COMP002,Bengaluru Development Centre,Development Centre,India,Bengaluru,Owned,Active,8006
D2-FAC02,COMP002,Hyderabad Development Centre,Development Centre,India,Hyderabad,Leased,Active,6458
D2-FAC03,COMP002,Pune Data Centre,Data Centre,India,Pune,Owned,Active,210
D2-FAC04,COMP002,Chennai Office,Office,India,Chennai,Leased,Active,370
D2-FAC05,COMP002,Noida Development Centre,Development Centre,India,Noida,Leased,Active,6432
D2-FAC06,COMP002,Mumbai Data Centre,Data Centre,India,Mumbai,Leased,Under construction,242
D3-FAC01,COMP003,Zurich Development Centre,Development Centre,Switzerland,Zurich,Owned,Active,11493
D3-FAC02,COMP003,Geneva Development Centre,Development Centre,Switzerland,Geneva,Leased,Active,7100
D3-FAC03,COMP003,Basel Data Centre,Data Centre,Switzerland,Basel,Owned,Active,208
D3-FAC04,COMP003,Bern Office,Office,Switzerland,Bern,Leased,Active,328
D3-FAC05,COMP003,Lausanne Development Centre,Development Centre,Switzerland,Lausanne,Leased,Active,2509
D3-FAC06,COMP003,Lugano Data Centre,Data Centre,Switzerland,Lugano,Leased,Under construction,137
D4-FAC01,COMP004,Austin Development Centre,Development Centre,United States,Austin,Owned,Active,13563
D4-FAC02,COMP004,Seattle Development Centre,Development Centre,United States,Seattle,Leased,Active,2807
D4-FAC03,COMP004,Denver Data Centre,Data Centre,United States,Denver,Owned,Active,234
D4-FAC04,COMP004,Boston Office,Office,United States,Boston,Leased,Active,372
D4-FAC05,COMP004,Phoenix Development Centre,Development Centre,United States,Phoenix,Leased,Active,9070
D4-FAC06,COMP004,Dallas Data Centre,Data Centre,United States,Dallas,Leased,Under construction,183
