target_id,deal_id,company_id,metric_code,target_name,target_type,base_year,base_value,target_year,target_value,current_value,progress_pct,expected_pct_linear,on_track_flag,sbti_validated_flag,status,evidence_document_id
D1-TGT01,DEAL001,COMP001,ENV_SCOPE2,Net-zero Scope 1+2 by 2040,Net-zero,2015,197000,2040,0,105417,46.5,36.0,Yes,Yes,On track,D1-DOC2024
D1-TGT02,DEAL001,COMP001,ENV_RENEW_PCT,50% renewable electricity by 2025,Absolute,2015,6.0,2025,50.0,48.57,96.8,90.0,Yes,No,On track,D1-DOC2024
D1-TGT03,DEAL001,COMP001,ENV_SCOPE2,Scope 2 -50% by 2030 vs 2015,Absolute,2015,185000,2030,92500,96101.64,96.1,60.0,Yes,Yes,On track,D1-DOC2024
D1-TGT04,DEAL001,COMP001,ENV_DC_PUE,Data-centre PUE <=1.40 by 2025,Intensity,2015,2.1,2025,1.4,1.41,98.6,90.0,Yes,No,On track,D1-DOC2024
D1-TGT05,DEAL001,COMP001,SOC_FEMALE_PCT,40% women in workforce by 2025,Absolute,2015,28.0,2025,40.0,38.26,85.5,90.0,No,No,At risk,D1-DOC2024
D1-TGT06,DEAL001,COMP001,GOV_WOMEN_BOARD_PCT,33% women on board by 2027,Absolute,2015,10.0,2027,33.0,30.22,87.9,75.0,Yes,No,On track,D1-DOC2024
D1-TGT07,DEAL001,COMP001,ENV_EWASTE_REC_PCT,100% e-waste recycling by 2025,Absolute,2015,58.0,2025,100.0,91.06,78.7,90.0,No,No,At risk,D1-DOC2024
D1-TGT08,DEAL001,COMP001,ENV_SCOPE3,Net-zero Scope 3 by 2050,Net-zero,2018,240000,2050,0,427215.44,0.0,18.8,No,No,At risk,D1-DOC2024
D2-TGT01,DEAL002,COMP002,ENV_SCOPE2,Net-zero Scope 1+2 by 2040,Net-zero,2015,118200,2040,0,62318,47.3,36.0,Yes,Yes,On track,D2-DOC2024
D2-TGT02,DEAL002,COMP002,ENV_RENEW_PCT,50% renewable electricity by 2025,Absolute,2015,-9.4,2025,50.0,32.59,70.7,90.0,No,No,At risk,D2-DOC2024
D2-TGT03,DEAL002,COMP002,ENV_SCOPE2,Scope 2 -50% by 2030 vs 2015,Absolute,2015,111000,2030,55500,56715.18,97.8,60.0,Yes,Yes,On track,D2-DOC2024
D2-TGT04,DEAL002,COMP002,ENV_DC_PUE,Data-centre PUE <=1.40 by 2025,Intensity,2015,2.35,2025,1.4,1.64,74.7,90.0,No,No,At risk,D2-DOC2024
D2-TGT05,DEAL002,COMP002,SOC_FEMALE_PCT,40% women in workforce by 2025,Absolute,2015,22.4,2025,40.0,33.26,61.7,90.0,No,No,Off track,D2-DOC2024
D2-TGT06,DEAL002,COMP002,GOV_WOMEN_BOARD_PCT,33% women on board by 2027,Absolute,2015,1.6,2027,33.0,21.57,63.6,75.0,No,No,At risk,D2-DOC2024
D2-TGT07,DEAL002,COMP002,ENV_EWASTE_REC_PCT,100% e-waste recycling by 2025,Absolute,2015,45.4,2025,100.0,76.54,57.0,90.0,No,No,Off track,D2-DOC2024
D2-TGT08,DEAL002,COMP002,ENV_SCOPE3,Net-zero Scope 3 by 2050,Net-zero,2018,144000,2050,0,251465.09,0.0,18.8,No,No,At risk,D2-DOC2024
D3-TGT01,DEAL003,COMP003,ENV_SCOPE2,Net-zero Scope 1+2 by 2040,Net-zero,2015,413700,2040,0,218007,47.3,36.0,Yes,Yes,On track,D3-DOC2024
D3-TGT02,DEAL003,COMP003,ENV_RENEW_PCT,50% renewable electricity by 2025,Absolute,2015,25.8,2025,50.0,67.7,100.0,90.0,Yes,No,On track,D3-DOC2024
D3-TGT03,DEAL003,COMP003,ENV_SCOPE2,Scope 2 -50% by 2030 vs 2015,Absolute,2015,388500,2030,194250,198314.35,97.9,60.0,Yes,Yes,On track,D3-DOC2024
D3-TGT04,DEAL003,COMP003,ENV_DC_PUE,Data-centre PUE <=1.40 by 2025,Intensity,2015,1.79,2025,1.4,1.11,100.0,90.0,Yes,No,On track,D3-DOC2024
D3-TGT05,DEAL003,COMP003,SOC_FEMALE_PCT,40% women in workforce by 2025,Absolute,2015,35.2,2025,40.0,46.44,100.0,90.0,Yes,No,On track,D3-DOC2024
D3-TGT06,DEAL003,COMP003,GOV_WOMEN_BOARD_PCT,33% women on board by 2027,Absolute,2015,20.8,2027,33.0,40.34,100.0,75.0,Yes,No,On track,D3-DOC2024
D3-TGT07,DEAL003,COMP003,ENV_EWASTE_REC_PCT,100% e-waste recycling by 2025,Absolute,2015,74.2,2025,100.0,105.84,100.0,90.0,Yes,No,On track,D3-DOC2024
D3-TGT08,DEAL003,COMP003,ENV_SCOPE3,Net-zero Scope 3 by 2050,Net-zero,2018,504000,2050,0,887223.39,0.0,18.8,No,No,At risk,D3-DOC2024
D4-TGT01,DEAL004,COMP004,ENV_SCOPE2,Net-zero Scope 1+2 by 2040,Net-zero,2015,295500,2040,0,156063,47.2,36.0,Yes,Yes,On track,D4-DOC2024
D4-TGT02,DEAL004,COMP004,ENV_RENEW_PCT,50% renewable electricity by 2025,Absolute,2015,10.4,2025,50.0,53.36,100.0,90.0,Yes,No,On track,D4-DOC2024
D4-TGT03,DEAL004,COMP004,ENV_SCOPE2,Scope 2 -50% by 2030 vs 2015,Absolute,2015,277500,2030,138750,141538.86,98.0,60.0,Yes,Yes,On track,D4-DOC2024
D4-TGT04,DEAL004,COMP004,ENV_DC_PUE,Data-centre PUE <=1.40 by 2025,Intensity,2015,2.03,2025,1.4,1.37,100.0,90.0,Yes,No,On track,D4-DOC2024
D4-TGT05,DEAL004,COMP004,SOC_FEMALE_PCT,40% women in workforce by 2025,Absolute,2015,29.6,2025,40.0,40.58,100.0,90.0,Yes,No,On track,D4-DOC2024
D4-TGT06,DEAL004,COMP004,GOV_WOMEN_BOARD_PCT,33% women on board by 2027,Absolute,2015,12.4,2027,33.0,32.29,96.6,75.0,Yes,No,On track,D4-DOC2024
D4-TGT07,DEAL004,COMP004,ENV_EWASTE_REC_PCT,100% e-waste recycling by 2025,Absolute,2015,61.6,2025,100.0,93.94,84.2,90.0,No,No,At risk,D4-DOC2024
D4-TGT08,DEAL004,COMP004,ENV_SCOPE3,Net-zero Scope 3 by 2050,Net-zero,2018,360000,2050,0,640796.06,0.0,18.8,No,No,At risk,D4-DOC2024
